2026-07-30 05:26:10,558 | INFO | ============================================================
2026-07-30 05:26:10,563 | INFO | PIPELINE RUN STARTED — 2026-07-30T05:26:10.563744
2026-07-30 05:26:10,564 | INFO | ============================================================
2026-07-30 05:26:10,564 | INFO | Loading raw data from 'cleaned_superstore.csv'...
2026-07-30 05:26:10,718 | INFO | Loaded 2,500 rows.
2026-07-30 05:26:10,719 | INFO | Cleaning data...
2026-07-30 05:26:10,741 | INFO | Cleaning complete: 2,500 -> 2,500 rows (0 removed).
2026-07-30 05:26:10,771 | INFO | Saved processed data to 'processed_data.csv'.
2026-07-30 05:26:10,771 | INFO | Calculating KPIs...
2026-07-30 05:26:10,819 | INFO | Exporting KPI report to 'sales_kpi_report.xlsx'...
2026-07-30 05:26:11,474 | INFO | Excel export complete.
2026-07-30 05:26:11,474 | INFO | KPI SUMMARY:
2026-07-30 05:26:11,474 | INFO |   Total Sales: 5181944.08
2026-07-30 05:26:11,474 | INFO |   Total Profit: 539207.0
2026-07-30 05:26:11,474 | INFO |   Total Orders: 2500
2026-07-30 05:26:11,474 | INFO |   Total Customers: 300
2026-07-30 05:26:11,474 | INFO |   Average Order Value: 2072.78
2026-07-30 05:26:11,474 | INFO |   Overall Profit Margin %: 10.41
2026-07-30 05:26:11,474 | INFO |   Top Category: Technology
2026-07-30 05:26:11,474 | INFO |   Top Region: South
2026-07-30 05:26:11,474 | INFO | ============================================================
2026-07-30 05:26:11,474 | INFO | PIPELINE RUN COMPLETE
2026-07-30 05:26:11,474 | INFO | ============================================================
2026-07-30 10:55:54,141 | INFO | ============================================================
2026-07-30 10:55:54,141 | INFO | PIPELINE RUN STARTED — 2026-07-30T10:55:54.141766
2026-07-30 10:55:54,141 | INFO | ============================================================
2026-07-30 10:55:54,141 | INFO | Loading raw data from 'cleaned_superstore.csv'...
2026-07-30 10:55:54,153 | INFO | Loaded 2,500 rows.
2026-07-30 10:55:54,153 | INFO | Cleaning data...
2026-07-30 10:55:54,160 | INFO | Cleaning complete: 2,500 -> 2,500 rows (0 removed).
2026-07-30 10:55:54,175 | INFO | Saved processed data to 'processed_data.csv'.
2026-07-30 10:55:54,175 | INFO | Calculating KPIs...
2026-07-30 10:55:54,191 | INFO | Exporting KPI report to 'sales_kpi_report.xlsx'...
2026-07-30 10:55:54,307 | INFO | Excel export complete.
2026-07-30 10:55:54,307 | INFO | KPI SUMMARY:
2026-07-30 10:55:54,307 | INFO |   Total Sales: 5181944.08
2026-07-30 10:55:54,307 | INFO |   Total Profit: 539207.0
2026-07-30 10:55:54,307 | INFO |   Total Orders: 2500
2026-07-30 10:55:54,307 | INFO |   Total Customers: 300
2026-07-30 10:55:54,307 | INFO |   Average Order Value: 2072.78
2026-07-30 10:55:54,307 | INFO |   Overall Profit Margin %: 10.41
2026-07-30 10:55:54,307 | INFO |   Top Category: Technology
2026-07-30 10:55:54,307 | INFO |   Top Region: South
2026-07-30 10:55:54,307 | INFO | ============================================================
2026-07-30 10:55:54,307 | INFO | PIPELINE RUN COMPLETE
2026-07-30 10:55:54,307 | INFO | ============================================================
2026-07-31 08:38:13,381 | INFO | ============================================================
2026-07-31 08:38:13,382 | INFO | PIPELINE RUN STARTED — 2026-07-31T08:38:13.382039
2026-07-31 08:38:13,382 | INFO | ============================================================
2026-07-31 08:38:13,382 | INFO | Loading raw data from 'cleaned_superstore.csv'...
2026-07-31 08:38:13,393 | INFO | Loaded 2,500 rows.
2026-07-31 08:38:13,393 | INFO | Cleaning data...
2026-07-31 08:38:13,400 | INFO | Cleaning complete: 2,500 -> 2,500 rows (0 removed).
2026-07-31 08:38:13,415 | INFO | Saved processed data to 'processed_data.csv'.
2026-07-31 08:38:13,415 | INFO | Calculating KPIs...
2026-07-31 08:38:13,430 | INFO | Exporting KPI report to 'sales_kpi_report.xlsx'...
2026-07-31 08:38:13,545 | INFO | Excel export complete.
2026-07-31 08:38:13,545 | INFO | KPI SUMMARY:
2026-07-31 08:38:13,545 | INFO |   Total Sales: 5181944.08
2026-07-31 08:38:13,545 | INFO |   Total Profit: 539207.0
2026-07-31 08:38:13,545 | INFO |   Total Orders: 2500
2026-07-31 08:38:13,545 | INFO |   Total Customers: 300
2026-07-31 08:38:13,545 | INFO |   Average Order Value: 2072.78
2026-07-31 08:38:13,545 | INFO |   Overall Profit Margin %: 10.41
2026-07-31 08:38:13,545 | INFO |   Top Category: Technology
2026-07-31 08:38:13,545 | INFO |   Top Region: South
2026-07-31 08:38:13,545 | INFO | ============================================================
2026-07-31 08:38:13,545 | INFO | PIPELINE RUN COMPLETE
2026-07-31 08:38:13,545 | INFO | ============================================================
2026-08-01 08:07:11,655 | INFO | ============================================================
2026-08-01 08:07:11,655 | INFO | PIPELINE RUN STARTED — 2026-08-01T08:07:11.655845
2026-08-01 08:07:11,655 | INFO | ============================================================
2026-08-01 08:07:11,656 | INFO | Loading raw data from 'cleaned_superstore.csv'...
2026-08-01 08:07:11,667 | INFO | Loaded 2,500 rows.
2026-08-01 08:07:11,667 | INFO | Cleaning data...
2026-08-01 08:07:11,673 | INFO | Cleaning complete: 2,500 -> 2,500 rows (0 removed).
2026-08-01 08:07:11,688 | INFO | Saved processed data to 'processed_data.csv'.
2026-08-01 08:07:11,688 | INFO | Calculating KPIs...
2026-08-01 08:07:11,703 | INFO | Exporting KPI report to 'sales_kpi_report.xlsx'...
2026-08-01 08:07:11,850 | INFO | Excel export complete.
2026-08-01 08:07:11,850 | INFO | KPI SUMMARY:
2026-08-01 08:07:11,850 | INFO |   Total Sales: 5181944.08
2026-08-01 08:07:11,850 | INFO |   Total Profit: 539207.0
2026-08-01 08:07:11,850 | INFO |   Total Orders: 2500
2026-08-01 08:07:11,850 | INFO |   Total Customers: 300
2026-08-01 08:07:11,850 | INFO |   Average Order Value: 2072.78
2026-08-01 08:07:11,850 | INFO |   Overall Profit Margin %: 10.41
2026-08-01 08:07:11,850 | INFO |   Top Category: Technology
2026-08-01 08:07:11,850 | INFO |   Top Region: South
2026-08-01 08:07:11,850 | INFO | ============================================================
2026-08-01 08:07:11,851 | INFO | PIPELINE RUN COMPLETE
2026-08-01 08:07:11,851 | INFO | ============================================================
2026-08-02 08:08:54,464 | INFO | ============================================================
2026-08-02 08:08:54,464 | INFO | PIPELINE RUN STARTED — 2026-08-02T08:08:54.464156
2026-08-02 08:08:54,464 | INFO | ============================================================
2026-08-02 08:08:54,464 | INFO | Loading raw data from 'cleaned_superstore.csv'...
2026-08-02 08:08:54,474 | INFO | Loaded 2,500 rows.
2026-08-02 08:08:54,474 | INFO | Cleaning data...
2026-08-02 08:08:54,480 | INFO | Cleaning complete: 2,500 -> 2,500 rows (0 removed).
2026-08-02 08:08:54,496 | INFO | Saved processed data to 'processed_data.csv'.
2026-08-02 08:08:54,497 | INFO | Calculating KPIs...
2026-08-02 08:08:54,509 | INFO | Exporting KPI report to 'sales_kpi_report.xlsx'...
2026-08-02 08:08:54,604 | INFO | Excel export complete.
2026-08-02 08:08:54,604 | INFO | KPI SUMMARY:
2026-08-02 08:08:54,604 | INFO |   Total Sales: 5181944.08
2026-08-02 08:08:54,604 | INFO |   Total Profit: 539207.0
2026-08-02 08:08:54,604 | INFO |   Total Orders: 2500
2026-08-02 08:08:54,604 | INFO |   Total Customers: 300
2026-08-02 08:08:54,604 | INFO |   Average Order Value: 2072.78
2026-08-02 08:08:54,604 | INFO |   Overall Profit Margin %: 10.41
2026-08-02 08:08:54,604 | INFO |   Top Category: Technology
2026-08-02 08:08:54,604 | INFO |   Top Region: South
2026-08-02 08:08:54,604 | INFO | ============================================================
2026-08-02 08:08:54,604 | INFO | PIPELINE RUN COMPLETE
2026-08-02 08:08:54,604 | INFO | ============================================================
2026-08-03 09:27:32,735 | INFO | ============================================================
2026-08-03 09:27:32,735 | INFO | PIPELINE RUN STARTED — 2026-08-03T09:27:32.735359
2026-08-03 09:27:32,735 | INFO | ============================================================
2026-08-03 09:27:32,735 | INFO | Loading raw data from 'cleaned_superstore.csv'...
2026-08-03 09:27:32,747 | INFO | Loaded 2,500 rows.
2026-08-03 09:27:32,747 | INFO | Cleaning data...
2026-08-03 09:27:32,753 | INFO | Cleaning complete: 2,500 -> 2,500 rows (0 removed).
2026-08-03 09:27:32,769 | INFO | Saved processed data to 'processed_data.csv'.
2026-08-03 09:27:32,769 | INFO | Calculating KPIs...
2026-08-03 09:27:32,785 | INFO | Exporting KPI report to 'sales_kpi_report.xlsx'...
2026-08-03 09:27:32,898 | INFO | Excel export complete.
2026-08-03 09:27:32,898 | INFO | KPI SUMMARY:
2026-08-03 09:27:32,898 | INFO |   Total Sales: 5181944.08
2026-08-03 09:27:32,898 | INFO |   Total Profit: 539207.0
2026-08-03 09:27:32,898 | INFO |   Total Orders: 2500
2026-08-03 09:27:32,899 | INFO |   Total Customers: 300
2026-08-03 09:27:32,899 | INFO |   Average Order Value: 2072.78
2026-08-03 09:27:32,899 | INFO |   Overall Profit Margin %: 10.41
2026-08-03 09:27:32,899 | INFO |   Top Category: Technology
2026-08-03 09:27:32,899 | INFO |   Top Region: South
2026-08-03 09:27:32,899 | INFO | ============================================================
2026-08-03 09:27:32,899 | INFO | PIPELINE RUN COMPLETE
2026-08-03 09:27:32,899 | INFO | ============================================================
2026-08-04 08:24:49,377 | INFO | ============================================================
2026-08-04 08:24:49,377 | INFO | PIPELINE RUN STARTED — 2026-08-04T08:24:49.377787
2026-08-04 08:24:49,377 | INFO | ============================================================
2026-08-04 08:24:49,377 | INFO | Loading raw data from 'cleaned_superstore.csv'...
2026-08-04 08:24:49,389 | INFO | Loaded 2,500 rows.
2026-08-04 08:24:49,389 | INFO | Cleaning data...
2026-08-04 08:24:49,396 | INFO | Cleaning complete: 2,500 -> 2,500 rows (0 removed).
2026-08-04 08:24:49,412 | INFO | Saved processed data to 'processed_data.csv'.
2026-08-04 08:24:49,412 | INFO | Calculating KPIs...
2026-08-04 08:24:49,427 | INFO | Exporting KPI report to 'sales_kpi_report.xlsx'...
2026-08-04 08:24:49,591 | INFO | Excel export complete.
2026-08-04 08:24:49,592 | INFO | KPI SUMMARY:
2026-08-04 08:24:49,592 | INFO |   Total Sales: 5181944.08
2026-08-04 08:24:49,592 | INFO |   Total Profit: 539207.0
2026-08-04 08:24:49,592 | INFO |   Total Orders: 2500
2026-08-04 08:24:49,592 | INFO |   Total Customers: 300
2026-08-04 08:24:49,592 | INFO |   Average Order Value: 2072.78
2026-08-04 08:24:49,592 | INFO |   Overall Profit Margin %: 10.41
2026-08-04 08:24:49,592 | INFO |   Top Category: Technology
2026-08-04 08:24:49,592 | INFO |   Top Region: South
2026-08-04 08:24:49,592 | INFO | ============================================================
2026-08-04 08:24:49,592 | INFO | PIPELINE RUN COMPLETE
2026-08-04 08:24:49,592 | INFO | ============================================================
2026-08-05 08:22:39,833 | INFO | ============================================================
